id,date,name,election_type,state_id,is_statewide,registration_info,absentee_ballot_info,results_uri,polling_hours,has_election_day_registration,registration_deadline,absentee_request_deadline,hours_open_id
e0061,2016-11-08,,federal,,true,,,,12:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
e0062,2016-11-08,,federal,,true,,,,08:30 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0063,2016-11-08,,federal,,true,,,,08:30 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0064,2016-11-08,,federal,,true,,,,01:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
e0065,2016-11-08,,federal,,true,,,,01:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
e0066,2016-11-08,,federal,,true,,,,08:00 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0067,2016-11-08,,federal,,true,,,,08:00 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0068,2016-11-08,,federal,,true,,,,08:00 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0069,2016-11-08,,federal,,true,,,,07:10 AM-05:50 PM,false,2016-10-11,2016-11-03,
e0070,2016-11-08,,federal,,true,,,,07:10 AM-05:50 PM,false,2016-10-11,2016-11-03,
e0071,2016-11-08,,federal,,true,,,,07:10 AM-05:50 PM,false,2016-10-11,2016-11-03,
e0072,2016-11-08,,federal,,true,,,,07:10 AM-05:50 PM,false,2016-10-11,2016-11-03,
e0073,2016-11-08,,federal,,true,,,,09:00 AM-04:00 PM,false,2016-10-11,2016-11-03,
e0074,2016-11-08,,federal,,true,,,,10:00 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0075,2016-11-08,,federal,,true,,,,01:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
e0076,2016-11-08,,federal,,true,,,,01:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
e0077,2016-11-08,,federal,,true,,,,09:00 AM-01:00 PM,false,2016-10-11,2016-11-03,
e0078,2016-11-08,,federal,,true,,,,01:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
e0079,2016-11-08,,federal,,true,,,,12:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
e0080,2016-11-08,,federal,,true,,,,12:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
e0081,2016-11-08,,federal,,true,,,,10:00 AM-07:00 PM,false,2016-10-11,2016-11-03,
e0082,2016-11-08,,federal,,true,,,,10:00 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0083,2016-11-08,,federal,,true,,,,09:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0084,2016-11-08,,federal,,true,,,,10:00 AM-07:00 PM,false,2016-10-11,2016-11-03,
e0085,2016-11-08,,federal,,true,,,,10:00 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0086,2016-11-08,,federal,,true,,,,12:00 PM-04:00 PM,false,2016-10-11,2016-11-03,
e0087,2016-11-08,,federal,,true,,,,09:00 AM-04:00 PM,false,2016-10-11,2016-11-03,
e0088,2016-11-08,,federal,,true,,,,09:00 AM-04:00 PM,false,2016-10-11,2016-11-03,
e0089,2016-11-08,,federal,,true,,,,09:00 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0090,2016-11-08,,federal,,true,,,,08:00 AM-06:00 PM,false,2016-10-11,2016-11-03,
e0091,2016-11-08,,federal,,true,,,,08:00 AM-06:00 PM,false,2016-10-11,2016-11-03,
e0092,2016-11-08,,federal,,true,,,,08:00 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0093,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0094,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0095,2016-11-08,,federal,,true,,,,03:00 PM-07:00 PM,false,2016-10-11,2016-11-03,
e0096,2016-11-08,,federal,,true,,,,03:00 PM-07:00 PM,false,2016-10-11,2016-11-03,
e0097,2016-11-08,,federal,,true,,,,08:00 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0098,2016-11-08,,federal,,true,,,,08:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0099,2016-11-08,,federal,,true,,,,08:00 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0100,2016-11-08,,federal,,true,,,,10:00 AM-06:00 PM,false,2016-10-11,2016-11-03,
e0101,2016-11-08,,federal,,true,,,,10:00 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0102,2016-11-08,,federal,,true,,,,10:00 AM-06:00 PM,false,2016-10-11,2016-11-03,
e0103,2016-11-08,,federal,,true,,,,10:00 AM-04:00 PM,false,2016-10-11,2016-11-03,
e0104,2016-11-08,,federal,,true,,,,10:00 AM-06:00 PM,false,2016-10-11,2016-11-03,
e0105,2016-11-08,,federal,,true,,,,10:00 AM-05:00 PM,false,2016-10-11,2016-11-03,
e0106,2016-11-08,,federal,,true,,,,01:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
e0107,2016-11-08,,federal,,true,,,,01:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
e0108,2016-11-08,,federal,,true,,,,03:00 PM-07:00 PM,false,2016-10-11,2016-11-03,
e0109,2016-11-08,,federal,,true,,,,03:00 PM-07:00 PM,false,2016-10-11,2016-11-03,
e0110,2016-11-08,,federal,,true,,,,03:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
e0111,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0112,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0113,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0114,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0115,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0116,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0117,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0118,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0119,2016-11-08,,federal,,true,,,,03:00 PM-07:00 PM,false,2016-10-11,2016-11-03,
e0120,2016-11-08,,federal,,true,,,,03:00 PM-07:00 PM,false,2016-10-11,2016-11-03,
e0121,2016-11-08,,federal,,true,,,,03:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
e0122,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0123,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0124,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0125,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0126,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0127,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0128,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0129,2016-11-08,,federal,,true,,,,10:00 AM-02:00 PM,false,2016-10-11,2016-11-03,
e0130,2016-11-08,,federal,,true,,,,03:00 PM-07:00 PM,false,2016-10-11,2016-11-03,
e0131,2016-11-08,,federal,,true,,,,03:00 PM-07:00 PM,false,2016-10-11,2016-11-03,
e0132,2016-11-08,,federal,,true,,,,03:00 PM-05:00 PM,false,2016-10-11,2016-11-03,
