ocd_division,homepage_url,county,location_name,address_1,address_2,city,state,zip_code,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,appointment_phone,is_subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:oh/county:adams,http://www.electionsonthe.net/oh/Adams,Adams County,,215 N. Cross St.,Room 103,West Union,OH,45693,08:00:00 - 04:00,17:00:00 - 04:00,10/12/16,10/14/16,False,False,False,False,1,"215 N. Cross St., West Union, OH 45693",Room 103,08:00 AM-05:00 PM,,ho17965260,false,false,,,,poll90595003
ocd-division/country:us/state:oh/county:adams,http://www.electionsonthe.net/oh/Adams,Adams County,,215 N. Cross St.,Room 103,West Union,OH,45693,08:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/21/16,False,False,False,False,2,"215 N. Cross St., West Union, OH 45693",Room 103,08:00 AM-05:00 PM,,ho17965260,false,false,,,,poll90595003
ocd-division/country:us/state:oh/county:adams,http://www.electionsonthe.net/oh/Adams,Adams County,,215 N. Cross St.,Room 103,West Union,OH,45693,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16,False,False,False,False,3,"215 N. Cross St., West Union, OH 45693",Room 103,08:00 AM-06:00 PM,,ho17965260,false,false,,,,poll90595003
ocd-division/country:us/state:oh/county:adams,http://www.electionsonthe.net/oh/Adams,Adams County,,215 N. Cross St.,Room 103,West Union,OH,45693,08:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16,False,False,False,False,4,"215 N. Cross St., West Union, OH 45693",Room 103,08:00 AM-04:00 PM,,ho17965260,false,false,,,,poll90595003
ocd-division/country:us/state:oh/county:adams,http://www.electionsonthe.net/oh/Adams,Adams County,,215 N. Cross St.,Room 103,West Union,OH,45693,13:00:00 - 04:00,17:00:00 - 04:00,10/30/16,10/30/16,False,False,False,False,5,"215 N. Cross St., West Union, OH 45693",Room 103,01:00 PM-05:00 PM,,ho17965260,false,false,,,,poll90595003
ocd-division/country:us/state:oh/county:adams,http://www.electionsonthe.net/oh/Adams,Adams County,,215 N. Cross St.,Room 103,West Union,OH,45693,08:00:00 - 04:00,19:00:00 - 04:00,10/31/16,11/4/16,False,False,False,False,6,"215 N. Cross St., West Union, OH 45693",Room 103,08:00 AM-07:00 PM,,ho17965260,false,false,,,,poll90595003
ocd-division/country:us/state:oh/county:adams,http://www.electionsonthe.net/oh/Adams,Adams County,,215 N. Cross St.,Room 103,West Union,OH,45693,08:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16,False,False,False,False,7,"215 N. Cross St., West Union, OH 45693",Room 103,08:00 AM-04:00 PM,,ho17965260,false,false,,,,poll90595003
ocd-division/country:us/state:oh/county:adams,http://www.electionsonthe.net/oh/Adams,Adams County,,215 N. Cross St.,Room 103,West Union,OH,45693,13:00:00 - 05:00,17:00:00 - 05:00,11/6/16,11/6/16,False,False,False,False,8,"215 N. Cross St., West Union, OH 45693",Room 103,01:00 PM-05:00 PM,,ho17965260,false,false,,,,poll90595003
ocd-division/country:us/state:oh/county:adams,http://www.electionsonthe.net/oh/Adams,Adams County,,215 N. Cross St.,Room 103,West Union,OH,45693,08:00:00 - 05:00,14:00:00 - 05:00,11/7/16,11/7/16,False,False,False,False,9,"215 N. Cross St., West Union, OH 45693",Room 103,08:00 AM-02:00 PM,,ho17965260,false,false,,,,poll90595003
ocd-division/country:us/state:oh/county:allen,http://www.allencountyohio.com/boe,Allen County,Courthouse,204 N. Main St.,Lower Level,Lima,OH,45801,08:00:00 - 04:00,17:00:00 - 04:00,10/12/16,10/14/16,False,False,False,False,10,"204 N. Main St., Lima, OH 45801",Lower Level,08:00 AM-05:00 PM,,ho47684408,false,false,,,,poll50680852
