start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho99085220,sch0001
08:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho99085220,sch0002
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho31499214,sch0003
07:00:00-05:00,19:00:00-05:00,,,,2016-10-29,2016-10-29,ho31499214,sch0004
12:00:00-05:00,17:00:00-05:00,,,,2016-10-30,2016-10-30,ho31499214,sch0005
07:00:00-05:00,19:00:00-05:00,,,,2016-10-31,2016-11-04,ho31499214,sch0006
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-03,ho31958093,sch0007
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-03,ho22630064,sch0008
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-03,ho38051614,sch0009
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-29,ho90620631,sch0010
07:00:00-05:00,19:00:00-05:00,,,,2016-10-31,2016-10-31,ho90620631,sch0011
08:00:00-05:00,17:00:00-05:00,,,,2016-11-01,2016-11-01,ho90620631,sch0012
07:00:00-05:00,19:00:00-05:00,,,,2016-11-02,2016-11-02,ho90620631,sch0013
08:00:00-05:00,17:00:00-05:00,,,,2016-11-03,2016-11-03,ho90620631,sch0014
07:00:00-05:00,19:00:00-05:00,,,,2016-11-04,2016-11-04,ho90620631,sch0015
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho96105657,sch0016
08:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-02,ho96105657,sch0017
08:00:00-05:00,18:00:00-05:00,,,,2016-11-03,2016-11-03,ho96105657,sch0018
08:00:00-05:00,17:00:00-05:00,,,,2016-11-04,2016-11-04,ho96105657,sch0019
07:00:00-05:00,19:00:00-05:00,,,,2016-10-24,2016-10-24,ho89554702,sch0020
07:30:00-05:00,17:30:00-05:00,,,,2016-10-25,2016-10-28,ho89554702,sch0021
09:00:00-05:00,12:00:00-05:00,,,,2016-10-29,2016-10-29,ho89554702,sch0022
07:00:00-05:00,19:00:00-05:00,,,,2016-10-31,2016-11-04,ho89554702,sch0023
07:30:00-05:00,17:30:00-05:00,,,,2016-10-24,2016-10-28,ho45749044,sch0024
07:30:00-05:00,17:30:00-05:00,,,,2016-10-31,2016-11-04,ho45749044,sch0025
07:30:00-05:00,17:30:00-05:00,,,,2016-10-24,2016-10-28,ho98014049,sch0026
07:30:00-05:00,17:30:00-05:00,,,,2016-10-31,2016-11-04,ho98014049,sch0027
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-11-02,ho92866084,sch0028
07:00:00-05:00,19:00:00-05:00,,,,2016-11-03,2016-11-04,ho92866084,sch0029
