ocd-division,homepage-url,County,Location Name,Address 1,Address 2,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change
ocd-division/country:us/state:oh/county:ashtabula,http://www.electionsonthe.net/oh/ashtabula/,Ashtabula County,Bureau of Motor Vehicle,8 W. Walnut St.,,Jefferson,OH,44047,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,FALSE,FALSE,FALSE,FALSE
